id,lemma,pos,senseKey,sourceCefr,cefrBandCandidate,primaryStageCandidate,levelBasis,primaryTopic,vocabularyLane,variants,sourceTopics,status,reviewStatus,reviewNeeds
pv_hi_interjection,hi,interjection,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hide_verb,hide,verb,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_high_adjective,high,adjective,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_high_adverb,high,adverb,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_highway_noun,highway,noun,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,town_services,general_english,,"Things in the town, shops and shopping | Travel",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hike_noun,hike,noun,unspecified,A2,A2,A2_2,cefrj_plus_primary_heuristic,travel_transport,general_english,,Travel and services vocab | Leisure activities | Travel,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hill_noun,hill,noun,unspecified,A1,A1,A1_1,cefrj_plus_primary_heuristic,town_services,general_english,,"Things in the town, shops and shopping | House and home, environment",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_him_pronoun,him,pronoun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_himself_pronoun,himself,pronoun,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_his_determiner,his,determiner,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
